JOURNEY_ID,LEVEL,MODE,PRIMARY_LEARNING_INTENT,SECONDARY_INTENT,ACTIVE_SOURCE,SOURCE_PROVENANCE,TAUGHT_BEFORE_TESTED,CORRECT_ANSWER,WHY_CORRECT,ALTERNATIVE_ANSWER_AMBIGUITY,DISTRACTOR_QUALITY,DISTRACTOR_MISCONCEPTION,HISTORICAL_TRUTH,LANGUAGE_VALUE,STORY_DISCOVERY_CONNECTION,LEVEL_APPROPRIATENESS,COGNITIVE_BAND,LEGACY_CONTAMINATION,CROSS_JOURNEY_CONTAMINATION,RESULT
beijing-forbidden-city,1,grammarRepair,LANGUAGE,STORY,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,把两条路线都清楚地,Current Journey language objective uniquely supports this Chinese repair; history trivia is not required.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned Chinese structural near-miss tied to the current language objective.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,1,missingSentence,STORY,,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,一个年幼侍役阿宁看见后说：“我的路不这样走。”,Active Story context uniquely completes the relationship/choice/causal meaning.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual context/choice/consequence misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,1,paragraphRebuild,STORY,,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,"十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。
他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。",Active Story event/relationship/causal order uniquely supports this rebuild.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual sequence/relationship misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,2,grammarRepair,LANGUAGE,STORY,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv2,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,共同节点变得更清楚,Current Journey language objective uniquely supports this Chinese repair; history trivia is not required.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned Chinese structural near-miss tied to the current language objective.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,2,missingSentence,STORY,,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv2,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,年幼侍役阿宁看见后摇头：“我到这里不是这样走。”,Active Story context uniquely completes the relationship/choice/causal meaning.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual context/choice/consequence misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,2,paragraphRebuild,STORY,,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv2,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,"十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。
他画下自己从午门沿中轴到乾清门的学习路线，认为正确的路线图应该选出一条最清楚的路。",Active Story event/relationship/causal order uniquely supports this rebuild.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual sequence/relationship misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,recognition/basic comprehension,NONE,NONE,PASS
beijing-forbidden-city,3,grammarRepair,LANGUAGE,STORY,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv3,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,仔细地,Current Journey language objective uniquely supports this Chinese repair; history trivia is not required.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned Chinese structural near-miss tied to the current language objective.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,sequence/simple causality,NONE,NONE,PASS
beijing-forbidden-city,3,missingSentence,CAUSAL_REASONING,CAUSAL_REASONING,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv3,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,年幼侍役阿宁看见图后却说，自己的走法不同。,Active Story context uniquely completes the relationship/choice/causal meaning.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual context/choice/consequence misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,sequence/simple causality,NONE,NONE,PASS
beijing-forbidden-city,3,paragraphRebuild,CAUSAL_REASONING,CAUSAL_REASONING,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv3,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,"他习惯把图画成一条主线，觉得这样最清楚。
年幼侍役阿宁看见图后却说，自己的走法不同。
他从东侧过来，也会到乾清门前，但不是沿着沈砚的线走。",Active Story event/relationship/causal order uniquely supports this rebuild.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned counterfactual sequence/relationship misunderstanding.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,sequence/simple causality,NONE,NONE,PASS
beijing-forbidden-city,4,grammarRepair,LANGUAGE,STORY,resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv4,JourneyChallengePanel + active Story/Discovery/Vocabulary; snapshot b862a41f204f698da0b2aea42e32961afae5ca9a,PASS,把两条路线合并为,Current Journey language objective uniquely supports this Chinese repair; history trivia is not required.,PASS — one defensible answer,PASS — plausible/diagnosable current-Journey misconception,Journey-owned Chinese structural near-miss tied to the current language objective.,PASS — no cheap fabricated historical fact required,PASS,PASS,PASS,sequence/simple causality,NONE,NONE,PASS
